"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","DELETE /posts/{id} deletes a post and returns 200 @smoke","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Delete Posts @posts @delete","post-tests/delete-post.spec.ts","",""
"","21","GET /posts/1 returns a single post with correct data @smoke","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Get Posts @posts @get","post-tests/get-post.spec.ts","",""
"","17","GET /todos/1 returns a single todo @smoke","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Todos @todos @get","todo-tests/get-todo.spec.ts","",""
"","45","GET /users returns list of 10 users @smoke","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","19","GET /posts/999 returns 404 for non-existent post @negative","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Get Posts @posts @get","post-tests/get-post.spec.ts","",""
"","33","POST /posts works with data: Second Post","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Create Posts @posts @post","post-tests/create-post.spec.ts","",""
"","28","POST /posts works with data: First Post","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Create Posts @posts @post","post-tests/create-post.spec.ts","",""
"","18","DELETE /posts/100 returns 200","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Delete Posts @posts @delete","post-tests/delete-post.spec.ts","",""
"","254","GET /posts returns list of 100 posts @smoke","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Posts @posts @get","post-tests/get-post.spec.ts","",""
"","20","PATCH /posts/{id} partially updates a post @smoke","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Update Posts @posts @put @patch","post-tests/update-post.spec.ts","",""
"","31","PUT /posts/{id} fully updates a post and returns 200 @smoke","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Update Posts @posts @put @patch","post-tests/update-post.spec.ts","",""
"","25","GET /posts?userId=1 returns only posts for user 1","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Posts @posts @get","post-tests/get-post.spec.ts","",""
"","26","GET /todos?userId=1 returns only todos for user 1","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Todos @todos @get","todo-tests/get-todo.spec.ts","",""
"","22","GET /users/5 returns matching user","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","34","GET /posts/1/comments returns comments for post 1","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Posts @posts @get","post-tests/get-post.spec.ts","",""
"","352","GET /todos returns list of 200 todos @smoke","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Todos @todos @get","todo-tests/get-todo.spec.ts","",""
"","25","DELETE /posts/1 returns 200","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Delete Posts @posts @delete","post-tests/delete-post.spec.ts","",""
